bin_end,token_amount,recorded_notional_usd,record_count,low,high,price,observed,thin_bin,market_id,displacement_pp,rv_pp,jump_z,rv_z,baseline_ready,jump_alert,volatility_alert,alert,score
2026-06-05 22:05:00+00:00,13.79,2.76,2,0.8,0.8,0.8,True,True,2446852,,,,,False,False,False,False,
2026-06-05 22:10:00+00:00,2.02,0.4,1,0.8,0.8,0.8,True,True,2446852,,,,,False,False,False,False,
2026-06-05 22:15:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:20:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:25:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:30:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:35:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:40:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:45:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:50:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 22:55:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:00:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:05:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:10:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:15:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:20:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:25:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:30:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:35:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:40:00+00:00,2.5,1.5,1,0.6,0.6,0.6,True,True,2446852,,,,,False,False,False,False,
2026-06-05 23:45:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:50:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-05 23:55:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-06 00:00:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
2026-06-06 00:05:00+00:00,0.0,0.0,0,,,,False,False,2446852,,,,,False,False,False,False,
