id,question,slug,condition_id,token1,token2,answer1,answer2,closed,active,archived,outcome_prices,volume,event_id,event_slug,event_title,created_at,end_date,updated_at,neg_risk
2446852,Will Ronaldo Cry at the World Cup?,will-ronaldo-cry-at-the-world-cup-20260604013616610,0x86f5b0f1934bb39421651ad2ba0f04494700ba9e95663a5c141a8674c4978c15,70563299267515386481251787764905458483722161674933642786238649081287869119194,109392421932188039945545044017437190536265072491394447153785057292645948915384,Yes,No,1,1,0,"['0.9995', '0.0005']",88798567.37233911,563178,will-ronaldo-cry-at-the-world-cup-20260604013616610,Will Ronaldo Cry at the World Cup?,2026-06-05 20:03:35+00:00,2026-07-10 00:10:04+00:00,2026-07-10 01:11:58+00:00,0
507300,Will Inter Milan win the UEFA Champions League?,will-inter-milan-win-the-uefa-champions-league,0x7beceb04f7b1d4f0dde80b58c6f43c23b8ad54b21c693e172c974f480b46483c,38626294313509935541386699081410949237349566230461651187135121754117545664676,65364971108743229299115080961714574928050691076397658748681151538041220144291,Yes,No,1,1,0,"['0', '1']",82978657.0443518,12585,champions-league-winner-2025,Champions League Winner,2024-09-17 17:27:16+00:00,2025-05-31 12:00:00+00:00,2026-04-16 00:19:43+00:00,1
